text,images,compensation,link,address,date,type
Project Engineer,,TBD,https://sfbay.craigslist.org/sby/egr/d/project-engineer/6986462225.html,"
        ,
HVAC contractor is seeking project engineer to work on a variety of HVAC projects.,
Responsibilities to include but not limited to ,Generate and tract RFI's, prepare take offs,submittal admin,estimating and, Shop drawings.,
Must have ability to interpret plans and specs, fluent with contract language,Adobe acrobat experience, Excel experience, ,
PTO,
Paid holidays,
Benifits,
401k    ",2019-09-25 12:27,full-time
Draftsman Needed,,Willing to pay up to $500 for quality drafting.,https://sfbay.craigslist.org/eby/egr/d/concord-draftsman-needed/6986519755.html,"
        ,
Need a skilled draftsman to draw plans up for complete remodel/rehab on 1400 sq. ft. older home in Concord, Ca. Prefer to hire individual that is familiar with City of Concord's renovation and building permit requirements, and has previously submitted plans to city for structural and electrical remodels.,
    ",2019-09-25 13:36,contract
Bay Area Project Manager,,Salary is commensurate to experience.,https://sfbay.craigslist.org/eby/egr/d/union-city-bay-area-project-manager/6986605735.html,"
        ,
Clark Bros., Inc., a successful California company in business for 60 years, has an immediate opening in the Bay Area for a skillful Project Manager with experience in civil and industrial construction in the field of water and/or wastewater treatment.,
,
The Project Manager will be responsible for all aspects of a project’s success from the initial award through the profitable execution and close-out of the job.,
,
Qualifications:,
•	Advanced knowledge and experience in construction industry Project Management required.,
•	Strong interpersonal, leadership and writing skills required.,
•	Extensive experience and thorough knowledge of construction operations and production tracking.,
•	Able to perform with minimum supervision.,
•	Five consecutive, current years of relevant construction Project Management experience in Water and Wastewater Treatment is required.  ,
•	Computer skills in Microsoft Office, Excel and Outlook are requisite.,
Job Functions,
•	Manages overall project performance (scope, safety, quality, schedule, cost, Owner satisfaction).,
•	Serves as single-point of contact, establishing, maintaining and managing customer and subcontractor expectations regarding overall project performance.,
•	Reports project status and performance as required to management.,
•	Plans, monitors and controls the project throughout its lifecycle.,
•	Effectively supervises crews to ensure greatest productivity.,
•	Prepares RFIs, RFPs, Change Orders.,
•	Excels at documenting all pertinent Project, Owner and Subcontractor activity.,
•	Responsible for ordering and scheduling major job material deliveries.,
•	Close out projects by proactively scheduling start-up, obtaining from subcontractors and suppliers all O&Ms and warranties and the submission thereof to Owner.,
,
Please submit your cover letter, resume, salary history and requirements with the word “PROJECT MANAGER” in the subject line.  No phone calls, please.,
,
    ",2019-09-25 15:31,full-time
Junior Civil Engineer,,Depending on experience,https://sfbay.craigslist.org/nby/egr/d/port-costa-junior-civil-engineer/6986613365.html,"
        ,
Junior Civil Engineer,
CSA is a well-established civil engineering and land surveying firm located in Benicia, California. We specialize in land development, surveying and public works projects.,
We have an immediate need for a Junior Civil Engineer.  Our office focuses in the design and plan preparation of land development projects of various sizes.  Though not required, the ideal candidate will also have some field survey experience with topographic, boundary, and construction surveys.  We offer the candidate the opportunity to perform Civil Design and related survey work.,
Requirements:,
•	BS Degree in Civil Engineering,
•	Demonstrate design and plan preparation:  College projects and/or intern work,
•	Engineer-in-Training (E.I.T.) Registration,
•	Excellent oral and written communication skills,
•	Working knowledge of Auto CAD,
•	Working survey experience,
•	Detail oriented,
•	Willing to travel occasionally on overnight projects,
•	Ability to work independently with direct guidance from principals,
•	Ability to obtain security and refinery clearances,
•	Candidates must be legally authorized to work permanently (i.e. without time limitations, without restrictions or without need for work sponsorship),
•	Ability to manage time and resources to work effectively,
•	Physical ability and willing to work in the field,
Typical work:,
•	Grading and Drainage design and drafting of plans,
•	Subdivision Plans and Maps,
•	Design of utilities (Water, Sewer and Storm Drain Systems),
•	Hydraulic calculations for sewer and storm drain systems,
•	Boundary (Property Line) calculations,
•	Metes and Bounds documents,
•	Survey preparation, topographic surveys, construction staking.,
•	Client and Public Agency communication and coordination,
CSA is a small office where the ability to work as a team member in a dynamic and positive work environment is essential. We work on a broad array of challenging and interesting projects.,
The company offers salary commensurate with experience, medical insurance, vacation/holidays, 401K plans with employer contribution.,
Send your cover letter and resume to:,
CSA  1090 Adams St., Suite A, Benicia, Ca.  94510,
    ",2019-09-25 15:44,full-time
Senior System Architect,,Competetive base plus Bonus opportunity,https://sfbay.craigslist.org/eby/egr/d/san-jose-senior-system-architect/6986667095.html,"
        ,
Business Unit Description ,
TCI International Inc. has been a world leader in the design and manufacture of state-of-the-art, turnkey systems for radio spectrum monitoring and management, radio direction finding, and communications intelligence collection applications. TCI was founded in 1968 and has approximately 100 employees. TCI is a whole owned subsidiary of SPX Corporation. ,
,
Summary,
TCI is looking for a senior system architect to actively participate in the development of radio frequency signal acquisition, geolocation and analysis systems used for spectrum monitoring and communications intelligence purposes. This person will apply their strong applied mathematics background, knowledge of radio frequency communications and signal processing techniques, software and hardware development skills to meeting signal detection, parameter measurement, direction finding and geolocation challenges facing spectrum regulators and intelligence organizations around the globe. Specifically, this person will develop system architectures using TCI’s existing technical base along with new development work that will satisfy both customer specific and market generic requirements. As part of the system development process, this person will create embedded software incorporating new and/or modified proprietary algorithms and techniques for implementation on proprietary hardware aimed at improving and expanding our product offering. Duties will include providing technical assistance to other engineering departments, customers and to the marketing and sales department.,
,
Essential Duties and Responsibilities include, but are not limited to:,
1.	Develop a deep understanding of TCI’s signal processing, direction finding and geolocation techniques and become a key contributor to architecting improvements and new features for our products.,
2.	Modify existing software and/or develop new software to implement improvements or add new features to our systems. Support testing and analysis of new hardware and software performance up to the system level.,
3.	Support other engineering groups by becoming the “go to” expert on the functionality and performance of our proprietary algorithms and techniques. Foster a broader understanding of our techniques and capabilities among other engineers.,
4.	Provide technical support to our marketing and sales department by evaluating how we can meet new customer requirements in a competitive market. Develop whitepaper level written technical descriptions of our capabilities to support our marketing efforts and participate in the proposal generation process.,
5.	Stay current with new technology and techniques that apply to our product space as well as competitors capabilities.,
6.	Other duties as assigned.,
,
Knowledge required:,
1.	MSEE or MSCS with emphasis on RF communication systems or signal analysis and 4+ years of experience in signal processing system development and deployment on production hardware, or BSEE or BSCS with emphasis on RF communication systems or signal analysis and 7+ years of experience in signal processing system development and deployment on production hardware,
2.	Experience with Linux and Windows 7/8, also prefer familiarity with Microsoft TFS,
3.	Experience developing, testing and deploying systems that use RF receivers,
4.	Must be a U.S. citizen or Permanent Resident,
,
Abilities and Skills Required:,
1.	Should be technically curious and have a strong desire to understand and solve complex signal receiving and analysis problems,
2.	Ability to analyze high-level system requirements and derive logical hardware and/or software modules, block and flow diagrams etc. leading to implementation on our systems to meet the high level requirements.,
3.	Ability to develop C++ code in Microsoft Visual Studio and Eclipse environments to produce multi-threaded near real time applications. Apply Object Oriented Design and Analysis.,
4.	Ability to develop and execute test plans and scenarios to validate system functionality and performance. Ability to use common test equipment to generate test signals and monitor system performance.,
5.	Ability to communicate complex algorithms and techniques to colleagues and customers who lack a strong mathematical background.,
6.	Good technical writing and presentation skills,
7.	Ability to work on cross functional teams to investigate and solve system issues,
8.	Ability to work in a fast paced environment with multiple projects running concurrently,
,
HOW TO APPLY:,
,
1.  Go to:   ,   ,
2.  Select Location:  USA-California-Fremont ,
3.  Scroll up to see opportunities,
4.  Apply.  This process takes approximately 5 minutes to complete.  If you do not have a resume to upload, you may build a resume online; this option may take an additional 10 minutes to complete.   ,
,
Or, you may reply to this posting.    ",2019-09-25 17:15,full-time
Mechanical Engineer I,,"$70,000 annual",https://sfbay.craigslist.org/sby/egr/d/milpitas-mechanical-engineer/6986744196.html,"
        ,
We are now welcoming an a team member to our specialized equipment design and manufacturing company. Serving the Medical Device World for over 25 years, we are a small company with a mission to constantly evolve so as to provide exceptional service and products to both our internal and external customers. ,
,
4 Reasons to work with Us ,
Small Business,
Family Operated for over 25 years ,
Medical/Dental/401K/Profit Sharing, ,
Excellent Culture ,
,
We welcome you to cooperate in this endeavor (only) if you possess a natural aptitude to be personally engaging, with an attitude of service, and ability to cooperate in a Small Business environment. ,
,
Responsible for designing (in SolidWorks) and developing mechanical assemblies, turning technical requirements into product specification, coordinate with vendors and customers, work with manufacturing group as needed, and support prototype development .,
,
Position will utilize Solidworks ® to create and store drawings electronically that can then be viewed, printed, or programmed directly into automated manufacturing systems. Position will also prepare variations and changes to current design drawings.,
Candidate will create and release product documentation, BOMs, mechanical product specifications.,
,
Must have knowledge and understanding of document control system ECO's, DCO's, Part Number Structure. ,
,
What You Need for This Position:,
•Bachelors in Mechanical Engineering,
•Exceptional Proficiency at SolidWorks ,
•Medical Device knowledge is a plus ,
•Basic Electrical knowledge,
    ",2019-09-25 20:16,full-time
Facility Survey Technician,,Compensation is commensurate with experience and ability.  Starts at $20/hour.,https://sfbay.craigslist.org/sby/egr/d/san-jose-facility-survey-technician/6986976622.html,"
        ,
Facility Survey Technician,
MetaBIM, Inc. is an established Internet facilities database company located in Scotts Valley, CA.  We currently have a position available for facility survey and building equipment documentation work.,
The work primarily involves physically accessing and measuring spaces and documenting existing conditions with drafting software in real-time utilizing mobile computing hardware.   Additionally, the position will require the identification and documentation of common building equipment and fire / life safety systems.  ,
We are seeking a professional, qualified, and goal oriented candidate for this position.  The job would entail working 5 days and 40 hours per week and would require reliable transportation to our client’s locations.  This position would be ideal for an entry-level architecture or engineering college graduate seeking experience in civil engineering or for an experienced survey technician/engineer already familiar with various facility systems, such as HVAC, Plumbing, Electrical, Telecom, and Fire & Life Safety.  While limited work may be done in the office, the majority of the work will need to be completed in the field.,
,
The successful candidate will have an aptitude for computers with extra consideration given for knowledge and experience using databases and IT systems. Also, the successful candidate is one who is a motivated self-starter with the ability to work in a group environment as well as autonomously. Candidate must be able to complete projects accurately and on time.  Furthermore, strong interpersonal skills and a high attention to detail are also required.  Education and/or experience with BIM and Revit also a plus but is not required.  We are seeking applicants whom have education and / or work experience with any of the following disciplines:,
,
• Field Surveying ,
• AutoCAD & Drafting ,
• Facilities Management ,
• Architecture ,
• Engineering ,
• Construction Industry,
,
Compensation is commensurate with experience and ability.  If you’d like to apply for this position, please email your resume and cover letter to us at the provided email address.  Background check is required.,
,
Thank you for your interest.  MetaBIM, Inc. is an Equal Opportunity Employer.,
    ",2019-09-26 08:51,full-time
Construction Manager,,In the $60K a Year Range,https://sfbay.craigslist.org/eby/egr/d/newark-construction-manager/6986979980.html,"
        ,
Construction Project Manager ,
San Francisco Bay Area ,
,
Our company is growing! We are an Architectural Design and Planning firm headquartered in the San Francisco Bay Area with offices throughout California. We are seeking Construction Project Managers in our Bay Area office to join our team. ,
The Construction Project Manager is a vital role in our business providing overall management for multiple small and medium size reconstruction projects awarded to general contractors. They serve as the primary contact with the home owners and community manager; and must continually foster a positive relationship with all parties involved. Construction Project Managers attend monthly/quarterly HOA board meetings and townhalls, generate and monitor cost estimates, subcontractor change orders, RFI’s, and process submittals to the customer.,
Construction Project Manager Primary Responsibilities:,
The Construction Project Manager will manage and control the entire scope of services as defined in the contract. Attention to detail is critical, as the person in this position may be assigned multiple projects that need to be managed simultaneously. In this role, you will help plan, implement, and manage the overall reconstruction projects for homeowner associations.,
Additional responsibilities include:,
·	Serve as primary point of contact to homeowners, board directors and community managers ,
·	Be available for monthly/quarterly board meetings and townhalls,
·	Supervise the timely and accurate processing of all project billing and invoices within a defined monthly cycle,
·	Establish and maintain a professional working relationship with internal and external customers,
·	Ensure all project estimates are prepared in accordance with the requirements of the project, and become familiar with each estimate to fully support its integrity,
·	Manage project budget and schedule updates,
·	Report project progress at weekly production meetings,
·	Prepare weekly Project Status Update with photo documentation,
·	Review and monitor all design and construction phase documents for conformance with the budget, schedule and prime contract,
·	Review subcontracts and proposals; assist with negotiations for change orders ,
·	Oversee small to large construction projects from start to finish,
,
,
Required Qualifications:,
·	Demonstrated experience in the HOA industry required,
·	BS Degree in Construction Management or Engineering or Architecture ,
·	Ability be a team player,
·	Ability to read and understand drawings and specifications,
·	Ability to demonstrate team building skills ,
·	Must be proficient with all project management administrative activities ,
·	Experience of construction management ,
·	Experience of managing budgets,
·	Experience of customer interfacing with building owners, design professionals, general contractors and internal operations team,
·	Experience of creating proposals,
·	Proficient with Microsoft Office,
·	Experience with CRM desired,
·	Experience with CRM preferred,
,
,
Benefits Offered:,
·	Generous Compensation,
·	Continued Education,
·	Supportive Culture,
·	Team Building,
·	Medical, Dental and Vision Insurance,
·	401K – Employer Match,
·	Paid Holidays, Sick Pay and Vacation,
    ",2019-09-26 08:55,full-time
"Assistant Chief Engineer, luxury hotel, Woodside, CA",,"hourly rate depending on skills plus health insurance, dental, vision, PTO & sick time",https://sfbay.craigslist.org/sby/egr/d/atherton-assistant-chief-engineer/6987085950.html,"
        ,
A luxury hotel is looking for a Property Engineer with a background in hospitality or real estate. Location: Woodside, CA,
,
KEY RESPONSIBILITIES:,
Maintenance of multiple buildings and grounds within budget including heating, AC, plumbing, electrical as well as maintenance and repair of buildings and equipment.,
 ,
*Responsible for electrical and plumbing maintenance and repairs,
*Responsible for generator testing and reporting and vendor coordination,
*Assist in maintaining blueprint inventory, operation manuals, stock supplies etc.,
*Assists in structural inspection and evaluations of property facilities and response program,
*Provides training to new and existing employees,
*Maintain technological changes to meet current laws and efficiency standards,
,
SKILLS YOU NEED TO HAVE:,
•	Relates well with employees, vendors, customers and others.,
•	Demonstrate good personal control and judgment under normal and stressful conditions.,
•	Must possess valid Driver’s License and maintain a satisfactory CA DMV record and be in possession of auto insurance policy.,
•	Personal vehicle use is required to travel between property locations.  Mileage reimbursement.,
•	Ability to be on-call and participate in 24-hour radio/pager rotations. ,
•	Must be able to work flexible shifts of morning and evenings along with weekends and holidays. ,
•	Must have good organization skills.,
•	Ability to communicate effectively both written and orally. ,
•	Ability to recognize potentially dangerous or hazardous conditions.,
•	Must be able to work independently and as part of a team.,
•	Must be able to prioritize and handle multiple tasks demonstrating good time management.,
•	High energy level and stamina along with the ability to exhibit attention to details is a must. ,
•	Ability to relate and interpret documents such as safety roles, operating and maintenance instructions and procedure manuals.,
•	Ability to write routine reports and correspondence.,
•	Ability to complete problem identification and resolution.,
,
EDUCATION,
•	High School degree or equivalent.  College degree preferred. ,
•	Equivalent time in another Building Trade is acceptable.,
•	EPA Technician certification required, preferably Universal Classification.,
•	Highest-level state/local license for stationary engineer and/or HVAC plus universal level refrigerant recovery license. BOMA courses desirable.,
•	SMA designation preferred.,
•	Intermediate computer skills and building automation systems experience required.,
,
EXPERIENCE:,
•	The qualified applicant will have combined 5-10 years commercial building engineering, Construction Management or Facilities Management experience.,
•	Requires 5+ years of facilities operational experience over multiple buildings.,
•	Strong HVAC, plumbing or electrical required. ,
•	Extensive experience in reading complex architectural, structural, mechanical, electrical, communications and landscaping plans.,
•	In-depth knowledge of general maintenance practices for structural, mechanical, electrical and landscaping components. Working knowledge on the functioning of HVAC units. ,
,
NO RECRUITERS    ",2019-09-26 10:47,full-time
Project Manager / Job Captain,,TBD,https://sfbay.craigslist.org/sby/egr/d/san-jose-project-manager-job-captain/6987234303.html,"
        ,
OJK Architecture + Planning is a small, design oriented architectural firm in downtown San Jose, specializing in contemporary affordable housing.,
We have several very exciting projects about to go into Design Development with many more in schematic design and are looking for a highly motivated, detail oriented individual to join our permanent team.,
,
Candidates will be involved in all phases of project development but immediate focus will be on producing high quality construction documents, coordinating engineering consultants and performing CA work for OJK projects currently under construction.,
,
,
Education and Experience,
,
•	Bachelor's Degree in Architecture ,
•	Minimum Ten years of experience,
,
,
Knowledge, Abilities and Skill:,
 ,
Proficiency in AutoCAD ,
Strong organizational skills with the ability to balance multiple projects and deadlines.,
Strong technical ability to produce high quality construction documents.,
Ability to work unsupervised. ,
Knowledge of building code, permitting and construction methodology.,
Ability to liaise effectively with clients, contractors, engineers and other design team members. ,
Strong technical knowledge in Type I, Type II, Type III and Type V construction,
 ,
Please check out our work at www.ojkarch.com and submit cover letter, resume, portfolio to Andy Whiting at Andy@ojkarch.com,
    ",2019-09-26 13:40,full-time
Field Technician,,Salary commensurate with experience,https://sfbay.craigslist.org/sfc/egr/d/san-francisco-field-technician/6987327153.html,"
        ,
Field Technician,
,
Experience:  2+ Years of Field Experience,
Work Status:  Full-time,
Job Type:  Permanent,
Contact:  employment@mcaia.com,
,
About McGinnis Chen Associates, Inc,
,
McGinnis Chen Associates, Inc. is an Architecture and Engineering firm which aims to make buildings perform better.  Founded in 1963, MCA has worked for over 50 years to steadily improve construction quality and building performance.  Our specific services include: building envelope design, peer review, construction administration, forensic building systems investigation, inspection and building envelope testing.  Please go to our website www.mcaia.com for more info on our firm.,
,
About the Position,
,
We are currently looking for a Field Technician to perform site inspections and testing.,
The ideal Candidate will have field experience on commercial construction sites and be familiar with typical construction methods, practices, and terminology.  Additionally, a strong candidate pays attention to detail and is capable of clearly and concisely documenting field conditions in the form of technical field reports.   Strong critical thinking abilities, time and resource management, and exceptional interpersonal skills are all required for success in the position.   This position is ideal for those candidates looking to move from the field trades into building envelope consulting and project management.,
,
Responsibilities Include:,
,
Candidates will be responsible for performing and later managing field inspections, testing, QA/QC, and investigations on both new and existing buildings.  Projects range from large residential and multi-family buildings to large commercial, government and institutional buildings.  Candidates are expected to communicate clearly and effectively with both internal colleagues and clients alike. ,
,
The ideal candidate will possess the following qualities and skills:,
,
•	2+ years of construction field experience ,
•	Exposure and experience with building envelope systems,
•	Construction Contract Administration experience,
•	Self-motivated, willing to work independently and seek advice as necessary,
•	Excellent verbal and written communication skills,
•	Desire to learn and improve every day,
,
How to Apply,
,
Email only – please indicate the position you are applying for in the subject line,
Please include: ,
•	Cover Letter,
•	Resume,
    ",2019-09-26 15:49,full-time
Architectural Drafter,,DOE (depends on experience),https://sfbay.craigslist.org/sby/egr/d/campbell-architectural-drafter/6987342642.html,"
        ,
Hello, ,
,
I am seeking a part time to possibly full time, architectural drafter to work in my office on projects. We are a residential design firm, so we only design houses. We do remodels, additions and new homes. See list below for some desired qualifications: ,
,
-Should have decent AutoCAD skills ,
-Should have a sense of how project plans are put together,
-Construction knowledge a plus, but willing to train the right person,
-Should know how details are related to various parts of the plans, but willing to train the right person,
-Basic PC computer skills (we use PCs, not Macs, sorry) ,
-Familiarity with MS word, excel and outlook a plus ,
-College degree a plus, but not required ,
-Willing to work a flexible, part time to potentially full time schedule (depending on how well as we are small but growing design firm,
-Great work attitude, punctual, high standard of ethics in and out of the work place ,
-Good hand drawing skills a plus ,
,
,
Please email this posting and provide your resume if interested. I will respond as quickly as I can. ,
,
Thank you    ",2019-09-26 16:14,part-time
Cannon is hiring a Civil Project Engineer!,,DOE,https://sfbay.craigslist.org/sby/egr/d/irvine-cannon-is-hiring-civil-project/6987344443.html,"
        ,
, provides exciting opportunities for professional growth and outlets for team building. We strive to provide opportunity for personal growth and a balance between personal and professional life. Not only do we work together, but we also enjoy spending time together outside of work. We work hard. We play hard. We have fun.,
,
, we have provided creative solutions to clients in the energy industry, water resources, public infrastructure, and commercial and residential development. With offices throughout California, we continue to grow!  ,
,
, a , in our , office.  Located in Orange County, Irvine offers warm weather, beautiful scenery, and is one of the top bicycling cities in America with close to 300 miles of on-road bicycle lanes and 45 miles of mountain bike trails. It’s one of the safest communities in America and the public schools have consistently ranked among the best in California. ,
,
, Commercial * Residential * Mixed-Use Development.,
,
, Supporting civil engineering team members on a variety of tasks on a wide range of civil land development projects including residential, commercial, and mixed-use developments. For a detailed description on job duties, visit www.CannonCorp.us and click on “Careers”.,
,
, ,
,
•	Requires a Bachelor’s degree in Civil Engineering from an accredited college.,
•	Requires 2 - 4 years’ experience in civil engineering specifically pertaining to land development projects.,
•	EIT certification preferred.,
•	Knowledgeable with CE terminology, methods, and code principles.,
•	Able to demonstrate experience pertaining to civil land development engineering projects such as single-family and multifamily residential, commercial, office, government and/or public works projects. ,
•	Possess strong verbal and written communication skills and able to communicate effectively with team.,
•	Possess firm understanding of storm water management and erosion control Best Management Practices, their implementation and maintenance, and BMP design. ,
•	Able to utilize Civil 3D to provide plans, specifications, and estimates for a variety of civil land development projects such as residential , commercial- , and industrial-site development projects. ,
•	Working knowledge of HEC-RAS, HEC-HMS, SWWM, XP-STORM, Storm CAD, SewerCAD, and WaterCAD software highly desirable.,
•	Ability to work with multiple disciplines in highly dynamic environments.,
,
,
, competitive salaries, relocation assistance, an excellent benefits package, and an active and positive work environment.,
,
,
Submit your resume and cover letter on-line at the “Careers” section at www.CannonCorp.us. EOE/AA,
,
Or click on this link to apply – ,    ",2019-09-26 16:18,full-time
Cannon is hiring a Civil Associate Engineer  in SLO!,,DOE,https://sfbay.craigslist.org/sfc/egr/d/san-luis-obispo-cannon-is-hiring-civil/6987345376.html,"
        ,
,
,
,
	,
,
,
, provides exciting opportunities for professional growth and outlets for team building. We strive to provide opportunity for personal growth and a balance between personal and professional life. Not only do we work together, but we also enjoy spending time together outside of work. We work hard. We play hard. We have fun.,
,
, we have provided creative solutions to clients in the energy industry, water resources, public infrastructure, and commercial and residential development. With offices throughout California, we continue to grow!  ,
,
, a , for our , office. San Luis Obispo is on the beautiful central coast of California, has scenic beaches, is surrounded by the wine country, and offers endless recreational opportunities. ,
,
, Wastewater Treatment Facilities * Collection Facilities * Water Distribution Systems * Water Treatment Plants * Storm Drainage Collection Systems and Facilities * Water Main Replacements * Potable Water Pump Stations and Reservoirs.,
,
, assisting team members with a variety of civil engineering tasks on a wide range of projects including public works, utilities, and land development. Assignments may include grading and drainage design, street design, ADA accessibility design, water and sewer infrastructure design, and construction engineering. Responsible for task management, mentoring talented staff, preparing engineering reports and analyses, design and preparation of plans, specifications, and cost estimates for a variety of clients but primarily in Public Works. In this role, the Associate Engineer may also participate in pursuing new business. For a detailed description on job duties, visit www.CannonCorp.us and click on ""Careers"".,
,
,
•	Requires a bachelor's degree in Civil Engineering from an accredited college.,
•	Requires minimum 6 years' experience in civil engineering specifically pertaining to Public Works and/ or Land Development projects.,
•	Requires minimum 1 year of project management experience pertaining to Public Works projects. ,
•	Requires a California P.E. license.,
•	Working knowledge of typical computer software programs used in civil engineering design (AutoCAD, Civil3D, Hydrology and Hydraulic, AES, WSPG, Flowmaster, etc.),
•	Must be proficient with MS Office Suite. ,
•	Experience in mentoring and resource management, a plus. ,
,
, competitive salaries, relocation assistance, an excellent benefits package, and an active and positive work environment.,
,
,
Submit your resume and cover letter on-line at the ""Careers"" section at www.CannonCorp.us. EOE/AA,
,
Or click on this link to apply - ,    ",2019-09-26 16:19,full-time
Maintenance Mechanic,,Competitive Pay!,https://sfbay.craigslist.org/nby/egr/d/yountville-maintenance-mechanic/6987346036.html,"
        ,
Established by French Champagne house Moet & Chandon, and a part of the LVMH Moet Hennessy- Louis Vuitton group, Domaine Chandon is the brand home for Napa’s Favorite sparkling wine. Find with us a fantastic opportunity to immerse yourself in the business and learn more about the world of sparkling wine while working with our Maintenance team.,
,
The mission for this talented individual would be to implement facility maintenance services for Domaine Chandon and our sister winery, Newton Vineyard, in accordance with our preventative maintenance, aesthetics and safety programs.,
,
If you're interested, please apply directly on our website: ,
,
Responsibilities ,
,
Production Maintenance:,
•Maintains functional knowledge of all production equipment operation. ,
•Responsible for performing production line changeovers and adjustments in a timely manner.,
•Understands and can troubleshoot electrical schematics, PLC programming and electrical controls.,
•Performs Preventative Maintenance (PM’s) on all production equipment as directed by work orders.,
•Responsible for disassembling machinery and equipment to remove parts and make repairs. Conducts testing on repaired machinery to verify adequacy of repairs.,
•Responsible for examination of parts for defects, such as breakage or excessive wear.,
•Complies with all safety requirements, company policies, procedures, and regulatory requirements to maintain a safe working environment.,
,
Facilities Maintenance:,
•Conduct plumbing, lighting and electrical repairs as needed.,
•Responsible for performing carpentry work as needed.,
•Conduct maintenance and repair of facility HVAC equipment.,
•Perform general building maintenance such as painting and basic repairs.,
•Create drawings and material lists for projects.,
•Responsible for performing basic welding to repair equipment and appliances as needed.,
•Responsible for testing and maintaining process wastewater and fresh water systems.,
•Responsible for maintaining chemicals in approved containers, report any spills and clean up if approved.,
,
Qualifications ,
,
Education: ,
•Highschool or GED required. ,
•Must have valid California Driver's License,
,
Language: ,
•English,
,
Professional experience and know how: ,
•3 to 5 years in Wine, Food or Soft Drink manufacturing maintenance skills,
•Experience in electrical, plumbing, welding and general building maintenance.,
,
Technical & Management skills:,
•Electrical and mechanical skills,
•PLC programming,
•Read and understand schematics,
•General machine shop skills,
,
Personal & Interpersonal skills:,
•Ability to work as a team leader on some projects and as team member on others,
•Must be self-motivated and able to recognize items that need improvement.,
•Demonstrate commitment and responsibility.,
•Demonstrate good communication skills.,
•Ability to adopt to quick changes in work flow.,
•Ability to work a flexible schedule.    ",2019-09-26 16:20,full-time
Cannon is hiring a Civil Associate Engineer  in SLO!,,DOE,https://sfbay.craigslist.org/eby/egr/d/san-luis-obispo-cannon-is-hiring-civil/6987346138.html,"
        ,
,
,
,
	,
,
,
, provides exciting opportunities for professional growth and outlets for team building. We strive to provide opportunity for personal growth and a balance between personal and professional life. Not only do we work together, but we also enjoy spending time together outside of work. We work hard. We play hard. We have fun.,
,
, we have provided creative solutions to clients in the energy industry, water resources, public infrastructure, and commercial and residential development. With offices throughout California, we continue to grow!  ,
,
, a , for our , office. San Luis Obispo is on the beautiful central coast of California, has scenic beaches, is surrounded by the wine country, and offers endless recreational opportunities. ,
,
, Wastewater Treatment Facilities * Collection Facilities * Water Distribution Systems * Water Treatment Plants * Storm Drainage Collection Systems and Facilities * Water Main Replacements * Potable Water Pump Stations and Reservoirs.,
,
, assisting team members with a variety of civil engineering tasks on a wide range of projects including public works, utilities, and land development. Assignments may include grading and drainage design, street design, ADA accessibility design, water and sewer infrastructure design, and construction engineering. Responsible for task management, mentoring talented staff, preparing engineering reports and analyses, design and preparation of plans, specifications, and cost estimates for a variety of clients but primarily in Public Works. In this role, the Associate Engineer may also participate in pursuing new business. For a detailed description on job duties, visit www.CannonCorp.us and click on ""Careers"".,
,
,
•	Requires a bachelor's degree in Civil Engineering from an accredited college.,
•	Requires minimum 6 years' experience in civil engineering specifically pertaining to Public Works and/ or Land Development projects.,
•	Requires minimum 1 year of project management experience pertaining to Public Works projects. ,
•	Requires a California P.E. license.,
•	Working knowledge of typical computer software programs used in civil engineering design (AutoCAD, Civil3D, Hydrology and Hydraulic, AES, WSPG, Flowmaster, etc.),
•	Must be proficient with MS Office Suite. ,
•	Experience in mentoring and resource management, a plus. ,
,
, competitive salaries, relocation assistance, an excellent benefits package, and an active and positive work environment.,
,
,
Submit your resume and cover letter on-line at the ""Careers"" section at www.CannonCorp.us. EOE/AA,
,
Or click on this link to apply - ,    ",2019-09-26 16:20,full-time
AutoCAD Position,,Salary is negotiable based upon your experience.,https://sfbay.craigslist.org/eby/egr/d/autocad-position/6987403742.html,"
        ,
Streivor Inc. manufactures commercial kitchen equipment at our manufacturing facility in Livermore, CA. Streivor is looking for experienced AutoCAD drafters to help Sales, Engineering, and Production Staff. ,
This is a full time position that offers a competitive salary and health benefits. ,
,
--- Task and Detail oriented,
--- Minimum 1 year of AutoCAD drafting experience required,
--- 3D and REVIT experience a plus,
,
    ",2019-09-26 18:08,full-time
